Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Australia Pty Ltd. (DEMO)
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 1, 2024 - June 30, 2025"
Statement,Data,WhenGenerated,"2025-07-05, 09:00:00 AEST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Account,U9999999
Account Information,Data,Name,Demo Client
Account Information,Data,Base Currency,USD
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,AAPL,"2024-08-15, 10:00:00",100,,,-15000,-1,,,,O
Trades,Data,Order,Stocks,USD,TSLA,"2025-03-03, 10:00:00",50,,,-10000,-1,,,,O
Trades,Data,Order,Stocks,USD,TSLA,"2025-05-20, 10:00:00",-50,,,9000,-1,-10001,-1002,,C
Trades,Data,Order,Equity and Index Options,USD,MSFT 19DEC25 400 P,"2025-06-10, 11:00:00",-1,,,500,-0.66,,,,O
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,AAPL,100,,,15001,,,,
Open Positions,Data,Summary,Equity and Index Options,USD,MSFT 19DEC25 400 P,-1,,,-499.34,,,,
Codes,Header,Code,Meaning
Codes,Data,A,Assignment
Codes,Data,C,Closing Trade
Codes,Data,Ep,Resulted from an Expired Position
Codes,Data,Ex,Exercise
Codes,Data,O,Opening Trade
